id,Tanggal / Waktu Kejadian,Minggu,Bulan,Tahun,Kode Provinsi,Provinsi,Kode Kabupaten,Kabupaten,Kode Jenis Kejadian,Nama Kejadian,Jenis Bencana,is_bencana,Jumlah Kejadian,Meninggal,Hilang,Luka / Sakit,menderita_mengungsi,Rumah Rusak Berat,Rumah Rusak Sedang,Rumah Rusak Ringan,Rumah Terendam,Satuan Pendidikan Rusak,Rumah Ibadat Rusak,Fasilitas Pelayanan Kesehatan Rusak,Kantor Rusak,Jembatan Rusak
3cb76be1-a0f5-4137-a103-a462d256c73d,2026-05-19 21:30:00.864,21,5,2026,35,Jawa Timur,35.75,Kota Pasuruan,1010,Banjir,Banjir,True,1.0,0,0,0,1150,0,0,0,230,0,0,0,0,0
1ef467f8-f094-484a-8396-fb33a454a790,2026-05-19 20:00:00.932,21,5,2026,35,Jawa Timur,35.14,Pasuruan,1013,Banjir dan Tanah Longsor,Banjir,True,1.0,0,0,0,5601,0,0,0,1867,0,0,0,0,0
0766eba4-9294-4ade-a979-485c07502dea,2026-04-21 17:57:00.979,17,4,2026,35,Jawa Timur,35.14,Pasuruan,1010,Banjir,Banjir,True,1.0,0,0,0,6775,0,0,0,1355,0,0,0,0,0
bdc35a92-4243-4553-a5f4-d2c418ac965b,2026-04-21 17:40:00.569,17,4,2026,35,Jawa Timur,35.75,Kota Pasuruan,1010,Banjir,Banjir,True,1.0,0,0,0,500,0,0,0,100,0,0,0,0,0
4800a342-5443-4b42-864a-7be37a85c4f4,2026-04-12 16:00:00.361,15,4,2026,35,Jawa Timur,35.14,Pasuruan,1010,Banjir,Banjir,True,1.0,0,0,0,3700,0,0,0,740,0,0,0,0,0
02d212b6-3061-4279-8010-29bd3ec9aaeb,2026-03-24 14:00:00.964,13,3,2026,35,Jawa Timur,35.14,Pasuruan,1010,Banjir,Banjir,True,1.0,0,0,0,19835,0,0,0,6456,0,0,0,0,0
e6aab2b5-5a34-4323-9e5e-f379bf8ac11a,2026-03-21 19:00:00.966,12,3,2026,35,Jawa Timur,35.75,Kota Pasuruan,1010,Banjir,Banjir,True,1.0,0,0,0,500,0,0,0,500,0,0,0,0,0
15bd08b7-eaf2-4999-ba34-e2491bab726c,2026-03-19 15:00:00.117,12,3,2026,35,Jawa Timur,35.14,Pasuruan,1010,Banjir,Banjir,True,1.0,0,0,0,11311,0,0,0,2260,0,0,0,0,0
81f7cce2-1a8a-493e-b4dc-9959fc79faa8,2026-03-02 17:00:00.694,10,3,2026,35,Jawa Timur,35.14,Pasuruan,1010,Banjir,Banjir,True,1.0,0,0,0,4835,0,0,0,967,0,0,0,0,0
a52cd6d4-844a-4279-b92a-ed52f33a8109,2026-02-21 19:30:00.009,8,2,2026,35,Jawa Timur,35.14,Pasuruan,1016,Banjir Genangan,Banjir,True,1.0,0,0,0,2125,0,0,0,425,0,0,0,0,0
a6037033-d32a-4aab-b930-29097d12e028,2026-02-14 16:00:00.874,7,2,2026,35,Jawa Timur,35.14,Pasuruan,1013,Banjir dan Tanah Longsor,Banjir,True,1.0,0,0,0,11815,0,0,0,2363,0,0,0,0,0
c388428c-2b72-4b0d-954b-2e0e019eb5bc,2026-01-20 18:30:00.416,4,1,2026,35,Jawa Timur,35.14,Pasuruan,1016,Banjir Genangan,Banjir,True,1.0,0,0,0,4995,0,0,0,999,0,0,0,0,0
9b4d1cae-8f5d-48a0-a59c-2b0f2bcc6aef,2026-01-20 13:00:00.454,4,1,2026,35,Jawa Timur,35.14,Pasuruan,1010,Banjir,Banjir,True,1.0,0,0,0,18025,0,0,0,3605,0,0,0,0,0
048b5603-71d8-458e-99b2-8349fbd44c45,2026-01-09 14:50:00.827,2,1,2026,35,Jawa Timur,35.14,Pasuruan,1010,Banjir,Banjir,True,1.0,0,0,0,6140,0,0,0,1228,0,0,0,0,0
