kota,kecamatan,kelurahan,value,value_type
Kota Samarinda,Palaran,Simpang Pasir,9755.0,count
Kota Samarinda,Palaran,Handil Bakti,11010.0,count
Kota Samarinda,Palaran,Bantuas,4806.0,count
Kota Samarinda,Palaran,Bukuan,17173.0,count
Kota Samarinda,Palaran,Rawa Makmur,24168.0,count
Kota Samarinda,Samarinda Ilir,Selili,12604.0,count
Kota Samarinda,Samarinda Ilir,Sungai Dama,9659.0,count
Kota Samarinda,Samarinda Ilir,Sidodamai,14184.0,count
Kota Samarinda,Samarinda Ilir,Sidomulyo,17105.0,count
Kota Samarinda,Samarinda Ilir,Pelita,16214.0,count
Kota Samarinda,Samarinda Kota,Bugis,4483.0,count
Kota Samarinda,Samarinda Kota,Pasar Pagi,3474.0,count
Kota Samarinda,Samarinda Kota,Pelabuhan,6300.0,count
Kota Samarinda,Samarinda Kota,Sungai Pinang Luar,12199.0,count
Kota Samarinda,Samarinda Kota,Karang Mumus,5923.0,count
Kota Samarinda,Sambutan,Pulau Atas,3665.0,count
Kota Samarinda,Sambutan,Sindang Sari,4183.0,count
Kota Samarinda,Sambutan,Makroman,10762.0,count
Kota Samarinda,Sambutan,Sambutan,27983.0,count
Kota Samarinda,Sambutan,Sungai Kapih,15836.0,count
Kota Samarinda,Samarinda Seberang,Mesjid,13719.0,count
Kota Samarinda,Samarinda Seberang,Baqa,14799.0,count
Kota Samarinda,Samarinda Seberang,Sungai Keledang,17351.0,count
Kota Samarinda,Samarinda Seberang,Mangkupalas,9418.0,count
Kota Samarinda,Samarinda Seberang,Tenun Samarinda,6519.0,count
Kota Samarinda,Samarinda Seberang,Gunung Panjang,3990.0,count
Kota Samarinda,Loa Janan Ilir,Sengkotek,7122.0,count
Kota Samarinda,Loa Janan Ilir,Simpang Tiga,12701.0,count
Kota Samarinda,Loa Janan Ilir,Tani Aman,9699.0,count
Kota Samarinda,Loa Janan Ilir,Harapan Baru,17759.0,count
Kota Samarinda,Loa Janan Ilir,Rapak Dalam,22115.0,count
Kota Samarinda,Sungai Kunjang,Loa Buah,8558.0,count
Kota Samarinda,Sungai Kunjang,Loa Bakung,32266.0,count
Kota Samarinda,Sungai Kunjang,Karang Asam Ulu,16907.0,count
Kota Samarinda,Sungai Kunjang,Teluk Lerong Ulu,14300.0,count
Kota Samarinda,Sungai Kunjang,Lok Bahu,35124.0,count
Kota Samarinda,Sungai Kunjang,Karang Asam Ilir,15239.0,count
Kota Samarinda,Sungai Kunjang,Karang Anyar,16926.0,count
Kota Samarinda,Samarinda Ulu,Teluk Lerong Ilir,13178.0,count
Kota Samarinda,Samarinda Ulu,Jawa,11443.0,count
Kota Samarinda,Samarinda Ulu,Dadi Mulya,12080.0,count
Kota Samarinda,Samarinda Ulu,Sidodadi,23890.0,count
Kota Samarinda,Samarinda Ulu,Gunung Kelua,13630.0,count
Kota Samarinda,Samarinda Ulu,Air Hitam,16701.0,count
Kota Samarinda,Samarinda Ulu,Air Putih,30249.0,count
Kota Samarinda,Samarinda Ulu,Bukit Pinang,12160.0,count
Kota Samarinda,Samarinda Utara,Lempake,23333.0,count
Kota Samarinda,Samarinda Utara,Sempaja Selatan,16682.0,count
Kota Samarinda,Samarinda Utara,Sungai Siring,4712.0,count
Kota Samarinda,Samarinda Utara,Tanah Merah,11036.0,count
Kota Samarinda,Samarinda Utara,Sempaja Utara,24675.0,count
Kota Samarinda,Samarinda Utara,Sempaja Timur,24191.0,count
Kota Samarinda,Samarinda Utara,Sempaja Barat,5793.0,count
Kota Samarinda,Samarinda Utara,Budaya Pampang,1654.0,count
Kota Samarinda,Sungai Pinang,Temindung Permai,17153.0,count
Kota Samarinda,Sungai Pinang,Bandara,7848.0,count
Kota Samarinda,Sungai Pinang,Sungai Pinang Dalam,47780.0,count
Kota Samarinda,Sungai Pinang,Mugirejo,25183.0,count
Kota Samarinda,Sungai Pinang,Gunung Lingai,12509.0,count
