latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
-6.9244285,107.60539,707.0,28800,Asia/Singapore,GMT+8

time,precipitation_sum (mm),temperature_2m_max (°C),temperature_2m_min (°C),wind_speed_10m_max (km/h),rain_sum (mm),soil_moisture_0_to_100cm_mean (m³/m³)
2016-01-01,34.00,26.6,21.5,4.4,34.00,0.403
2016-01-02,20.00,26.5,21.2,4.3,20.00,0.416
2016-01-03,31.80,27.6,21.0,5.2,31.80,0.422
2016-01-04,18.40,26.5,21.4,5.4,18.40,0.424
2016-01-05,10.30,25.8,22.1,4.8,10.30,0.423
2016-01-06,5.90,27.8,20.7,6.7,5.90,0.420
2016-01-07,1.70,27.5,21.0,7.3,1.70,0.417
2016-01-08,1.80,27.3,21.6,8.2,1.80,0.411
2016-01-09,21.60,26.4,22.6,5.5,21.60,0.411
2016-01-10,7.10,25.8,21.7,4.7,7.10,0.415
2016-01-11,9.60,26.3,20.8,5.0,9.60,0.414
2016-01-12,11.80,26.3,21.4,5.8,11.80,0.415
2016-01-13,15.60,27.1,20.2,5.5,15.60,0.420
2016-01-14,27.50,26.5,20.6,5.8,27.50,0.424
2016-01-15,8.00,26.2,21.2,7.4,8.00,0.424
2016-01-16,0.70,27.3,21.1,6.2,0.70,0.419
2016-01-17,37.50,27.4,21.6,4.1,37.50,0.419
2016-01-18,19.30,27.0,20.9,5.9,19.30,0.429
2016-01-19,27.00,27.7,20.7,5.9,27.00,0.428
2016-01-20,17.50,26.2,21.3,5.8,17.50,0.426
2016-01-21,5.80,27.3,21.3,6.6,5.80,0.427
2016-01-22,4.50,26.2,21.6,8.9,4.50,0.421
2016-01-23,15.70,23.5,21.3,10.4,15.70,0.422
2016-01-24,2.90,25.8,21.2,9.7,2.90,0.425
2016-01-25,7.50,24.6,21.0,9.7,7.50,0.422
2016-01-26,4.80,26.0,20.6,8.4,4.80,0.420
2016-01-27,4.40,27.9,21.1,7.9,4.40,0.418
2016-01-28,0.90,27.3,20.6,7.7,0.90,0.413
2016-01-29,1.20,27.8,19.7,7.0,1.20,0.406
2016-01-30,5.30,27.0,21.8,8.2,5.30,0.401
2016-01-31,12.00,26.3,21.2,10.2,12.00,0.401
2016-02-01,14.00,25.7,21.4,12.3,14.00,0.408
2016-02-02,7.00,25.6,21.5,11.5,7.00,0.410
2016-02-03,23.10,25.5,21.2,7.9,23.10,0.417
2016-02-04,17.60,25.5,21.1,5.8,17.60,0.425
2016-02-05,23.90,26.1,21.4,9.8,23.90,0.426
2016-02-06,23.70,26.9,21.5,8.0,23.70,0.429
2016-02-07,28.10,26.3,21.7,6.1,28.10,0.429
2016-02-08,31.50,26.5,21.1,7.4,31.50,0.427
2016-02-09,15.10,26.5,21.6,6.0,15.10,0.428
2016-02-10,28.80,25.6,21.1,7.2,28.80,0.427
2016-02-11,33.60,24.2,21.6,8.7,33.60,0.429
2016-02-12,22.40,23.8,21.1,7.6,22.40,0.424
2016-02-13,9.60,25.9,20.6,4.1,9.60,0.422
2016-02-14,11.50,27.9,20.5,8.0,11.50,0.417
2016-02-15,15.90,26.9,20.4,9.4,15.90,0.417
2016-02-16,7.10,25.2,20.8,9.0,7.10,0.417
2016-02-17,8.70,26.1,21.3,6.8,8.70,0.413
2016-02-18,31.50,26.0,20.4,3.7,31.50,0.414
2016-02-19,13.10,27.0,20.2,3.7,13.10,0.418
2016-02-20,23.70,27.4,20.9,5.2,23.70,0.420
2016-02-21,16.60,27.3,21.3,6.8,16.60,0.424
2016-02-22,2.90,27.4,20.6,4.8,2.90,0.423
2016-02-23,30.50,26.9,21.2,6.2,30.50,0.421
2016-02-24,31.70,25.7,21.6,8.2,31.70,0.430
2016-02-25,17.00,26.5,20.6,6.4,17.00,0.427
2016-02-26,21.20,26.3,21.0,7.0,21.20,0.428
2016-02-27,41.90,25.1,20.8,7.1,41.90,0.426
