latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
-6.221441,107.00668,19.0,28800,Asia/Singapore,GMT+8

time,precipitation_sum (mm),temperature_2m_max (°C),temperature_2m_min (°C),wind_speed_10m_max (km/h),rain_sum (mm),soil_moisture_0_to_100cm_mean (m³/m³)
2016-01-01,14.80,29.9,24.3,12.0,14.80,0.389
2016-01-02,9.00,29.1,24.4,16.1,9.00,0.395
2016-01-03,15.20,29.6,23.9,8.3,15.20,0.400
2016-01-04,9.50,29.2,24.5,12.7,9.50,0.405
2016-01-05,10.40,29.3,24.7,12.3,10.40,0.407
2016-01-06,6.30,29.9,24.1,11.3,6.30,0.407
2016-01-07,3.30,30.6,24.1,12.0,3.30,0.406
2016-01-08,2.20,30.4,24.1,10.7,2.20,0.402
2016-01-09,1.80,29.1,24.8,12.0,1.80,0.398
2016-01-10,5.40,29.1,24.5,10.9,5.40,0.396
2016-01-11,1.70,30.1,24.1,13.2,1.70,0.394
2016-01-12,28.30,28.6,24.9,9.4,28.30,0.397
2016-01-13,19.70,29.7,24.2,14.5,19.70,0.407
2016-01-14,13.70,28.8,24.5,10.2,13.70,0.412
2016-01-15,3.70,29.4,24.2,13.8,3.70,0.414
2016-01-16,1.60,30.3,24.1,6.5,1.60,0.410
2016-01-17,3.60,30.7,24.6,9.5,3.60,0.404
2016-01-18,9.90,29.6,24.3,12.9,9.90,0.402
2016-01-19,13.00,29.9,24.3,15.3,13.00,0.405
2016-01-20,18.20,29.8,24.4,11.8,18.20,0.411
2016-01-21,7.90,29.5,24.2,11.9,7.90,0.415
2016-01-22,8.30,29.4,24.9,11.8,8.30,0.412
2016-01-23,41.00,27.2,24.0,10.9,41.00,0.423
2016-01-24,7.60,28.8,24.2,10.8,7.60,0.424
2016-01-25,16.10,28.1,23.8,12.5,16.10,0.423
2016-01-26,7.00,28.8,23.6,11.4,7.00,0.422
2016-01-27,7.10,29.6,24.6,13.8,7.10,0.419
2016-01-28,5.00,29.5,24.6,15.0,5.00,0.416
2016-01-29,1.80,30.8,23.8,10.5,1.80,0.412
2016-01-30,11.70,29.3,24.9,13.5,11.70,0.410
2016-01-31,6.70,28.7,24.7,17.6,6.70,0.413
2016-02-01,46.60,29.4,24.3,16.6,46.60,0.419
2016-02-02,7.60,29.6,24.2,19.9,7.60,0.421
2016-02-03,10.50,29.4,24.3,11.8,10.50,0.420
2016-02-04,7.40,28.3,24.2,8.9,7.40,0.420
2016-02-05,14.10,29.1,24.3,14.8,14.10,0.421
2016-02-06,24.80,30.2,24.4,13.0,24.80,0.423
2016-02-07,23.70,28.1,24.7,15.0,23.70,0.427
2016-02-08,23.70,29.2,24.5,16.2,23.70,0.427
2016-02-09,14.80,28.2,24.4,16.4,14.80,0.425
2016-02-10,69.00,27.8,24.2,18.4,69.00,0.428
2016-02-11,13.80,27.3,24.5,12.2,13.80,0.428
2016-02-12,16.40,27.4,24.1,9.7,16.40,0.428
2016-02-13,3.70,29.5,23.8,6.6,3.70,0.425
2016-02-14,14.20,30.9,24.0,12.1,14.20,0.421
2016-02-15,12.20,29.4,23.9,12.0,12.20,0.423
2016-02-16,15.10,27.8,24.1,15.0,15.10,0.424
2016-02-17,12.80,28.2,24.1,11.5,12.80,0.426
2016-02-18,5.20,28.7,24.4,13.5,5.20,0.424
2016-02-19,1.40,29.8,23.7,12.9,1.40,0.419
2016-02-20,17.70,29.6,24.2,15.5,17.70,0.416
2016-02-21,14.60,28.7,24.2,17.6,14.60,0.423
2016-02-22,7.40,28.8,24.3,13.8,7.40,0.425
2016-02-23,26.90,29.6,24.2,12.8,26.90,0.425
2016-02-24,26.30,27.8,24.1,14.6,26.30,0.428
2016-02-25,15.60,29.0,24.0,12.2,15.60,0.427
2016-02-26,10.80,28.3,23.8,17.9,10.80,0.427
2016-02-27,7.10,29.1,24.2,15.3,7.10,0.424
2016-02-28,34.60,26.3,24.4,10.7,34.60,0.427
2016-02-29,19.20,27.6,24.1,15.5,19.20,0.428
2016-03-01,32.80,27.9,24.1,17.8,32.80,0.427
2016-03-02,8.60,28.8,24.1,12.5,8.60,0.423
2016-03-03,9.40,29.0,24.7,12.5,9.40,0.422
2016-03-04,19.40,29.4,24.3,14.0,19.40,0.420
2016-03-05,14.80,29.1,24.3,11.8,14.80,0.424
2016-03-06,16.30,29.7,24.5,13.6,16.30,0.424
2016-03-07,4.70,30.3,24.3,12.1,4.70,0.423
2016-03-08,10.20,30.0,24.3,10.7,10.20,0.419
2016-03-09,15.30,30.6,24.5,9.1,15.30,0.419
2016-03-10,4.40,30.6,24.3,12.4,4.40,0.419
2016-03-11,7.50,29.6,24.5,11.9,7.50,0.415
2016-03-12,20.10,29.9,24.7,10.6,20.10,0.417
2016-03-13,14.20,29.9,24.5,8.4,14.20,0.421
2016-03-14,7.30,30.2,24.4,11.4,7.30,0.422
2016-03-15,3.80,30.5,24.2,11.5,3.80,0.419
2016-03-16,6.20,30.4,24.8,12.4,6.20,0.418
2016-03-17,8.50,30.2,24.7,12.6,8.50,0.414
2016-03-18,7.80,29.0,24.7,12.5,7.80,0.418
2016-03-19,6.80,30.1,25.1,12.5,6.80,0.415
2016-03-20,11.10,30.0,24.8,12.1,11.10,0.415
2016-03-21,6.10,29.5,25.0,9.5,6.10,0.415
2016-03-22,15.60,29.0,24.5,14.2,15.60,0.417
2016-03-23,14.40,30.1,25.0,12.8,14.40,0.421
2016-03-24,5.20,31.1,24.4,5.6,5.20,0.422
2016-03-25,19.20,29.5,24.7,13.3,19.20,0.423
2016-03-26,9.50,29.6,24.6,10.5,9.50,0.426
2016-03-27,2.40,29.9,24.0,12.1,2.40,0.421
2016-03-28,5.80,29.3,24.5,12.7,5.80,0.416
2016-03-29,17.20,28.5,24.6,11.9,17.20,0.418
2016-03-30,15.40,28.1,24.1,11.5,15.40,0.424
2016-03-31,18.80,29.2,24.2,8.6,18.80,0.428
2016-04-01,18.30,29.0,24.4,11.4,18.30,0.427
2016-04-02,12.10,29.4,24.0,8.1,12.10,0.427
2016-04-03,6.50,30.6,24.4,9.4,6.50,0.424
2016-04-04,9.60,30.2,24.4,12.1,9.60,0.421
2016-04-05,14.50,29.3,24.5,8.4,14.50,0.421
2016-04-06,5.00,30.1,24.3,11.0,5.00,0.420
2016-04-07,6.30,30.4,24.3,14.6,6.30,0.416
2016-04-08,1.90,30.1,25.0,8.2,1.90,0.414
2016-04-09,8.20,30.9,24.9,9.3,8.20,0.409
2016-04-10,7.00,29.6,24.9,8.4,7.00,0.409
2016-04-11,9.00,29.9,24.6,8.7,9.00,0.413
2016-04-12,24.60,30.1,24.8,8.8,24.60,0.416
2016-04-13,7.60,30.4,24.6,8.0,7.60,0.418
2016-04-14,13.90,31.2,25.0,7.7,13.90,0.417
2016-04-15,12.30,29.0,24.5,6.9,12.30,0.420
2016-04-16,9.60,30.5,24.6,8.7,9.60,0.424
2016-04-17,22.90,28.6,24.4,12.2,22.90,0.425
2016-04-18,5.60,31.1,24.2,9.0,5.60,0.423
2016-04-19,10.00,30.3,24.5,11.1,10.00,0.420
2016-04-20,11.80,30.3,24.5,10.5,11.80,0.422
2016-04-21,58.90,28.6,24.4,9.2,58.90,0.427
2016-04-22,9.30,29.7,24.6,13.2,9.30,0.425
2016-04-23,8.40,30.0,24.4,14.3,8.40,0.424
2016-04-24,7.90,30.4,24.5,16.1,7.90,0.424
2016-04-25,5.80,30.2,24.5,12.9,5.80,0.422
2016-04-26,14.10,29.1,24.5,12.1,14.10,0.422
2016-04-27,6.10,30.0,24.6,8.7,6.10,0.424
2016-04-28,3.10,30.3,24.4,10.5,3.10,0.421
2016-04-29,5.90,30.2,24.7,8.9,5.90,0.419
2016-04-30,11.40,29.4,24.5,9.6,11.40,0.417
2016-05-01,2.00,29.3,23.9,14.0,2.00,0.418
2016-05-02,3.60,29.8,24.8,13.4,3.60,0.415
2016-05-03,7.60,29.8,25.1,13.1,7.60,0.413
2016-05-04,6.80,30.2,24.8,14.8,6.80,0.415
2016-05-05,9.70,28.6,24.8,8.3,9.70,0.417
2016-05-06,3.00,30.3,23.9,10.0,3.00,0.414
2016-05-07,4.10,30.6,23.9,8.6,4.10,0.410
2016-05-08,13.00,30.5,24.8,10.0,13.00,0.409
2016-05-09,7.60,29.9,24.8,7.0,7.60,0.411
2016-05-10,1.30,30.8,24.2,12.7,1.30,0.410
2016-05-11,2.30,30.6,25.2,10.3,2.30,0.406
2016-05-12,3.50,30.6,25.0,7.9,3.50,0.403
2016-05-13,4.80,31.2,24.8,8.1,4.80,0.400
2016-05-14,3.30,29.8,24.7,12.0,3.30,0.400
2016-05-15,2.10,30.3,25.5,13.5,2.10,0.398
2016-05-16,7.70,30.2,25.0,8.7,7.70,0.396
2016-05-17,3.40,29.7,24.9,8.7,3.40,0.397
2016-05-18,0.60,30.6,24.8,8.6,0.60,0.394
2016-05-19,1.50,30.4,24.3,8.3,1.50,0.389
2016-05-20,0.70,30.7,24.6,7.9,0.70,0.386
2016-05-21,2.10,30.3,24.9,6.9,2.10,0.382
2016-05-22,5.60,29.4,24.5,7.9,5.60,0.381
2016-05-23,4.70,30.1,24.7,6.3,4.70,0.382
2016-05-24,2.40,29.8,25.1,7.4,2.40,0.381
