latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
-6.5729346,106.775826,247.0,28800,Asia/Singapore,GMT+8

time,precipitation_sum (mm),temperature_2m_max (°C),temperature_2m_min (°C),wind_speed_10m_max (km/h),rain_sum (mm),soil_moisture_0_to_100cm_mean (m³/m³)
2016-01-01,37.70,29.4,22.3,8.0,37.70,0.448
2016-01-02,12.70,29.2,22.9,10.8,12.70,0.467
2016-01-03,23.60,29.8,22.3,7.2,23.60,0.475
2016-01-04,10.70,28.8,23.1,9.7,10.70,0.484
2016-01-05,10.80,29.1,23.7,8.4,10.80,0.486
2016-01-06,9.20,29.3,22.6,9.3,9.20,0.487
2016-01-07,3.60,30.3,21.6,10.2,3.60,0.488
2016-01-08,4.70,29.6,23.3,9.4,4.70,0.483
2016-01-09,4.10,29.2,23.5,9.5,4.10,0.481
2016-01-10,3.20,28.8,23.3,7.6,3.20,0.480
2016-01-11,6.80,30.3,22.2,9.7,6.80,0.480
2016-01-12,31.80,28.5,22.6,8.6,31.80,0.486
2016-01-13,24.10,29.9,22.3,7.4,24.10,0.500
2016-01-14,9.00,29.6,22.5,8.1,9.00,0.501
2016-01-15,5.80,28.3,22.4,11.0,5.80,0.500
2016-01-16,2.00,29.6,22.2,6.7,2.00,0.497
2016-01-17,13.20,30.4,22.9,7.6,13.20,0.494
2016-01-18,16.80,28.5,22.3,6.6,16.80,0.501
2016-01-19,17.30,29.6,22.4,10.8,17.30,0.504
2016-01-20,21.40,29.5,22.7,7.6,21.40,0.503
2016-01-21,7.60,29.8,22.5,9.4,7.60,0.502
2016-01-22,7.70,29.4,23.2,8.7,7.70,0.495
2016-01-23,28.90,26.4,22.9,10.2,28.90,0.497
2016-01-24,3.30,27.9,22.6,9.8,3.30,0.499
2016-01-25,9.70,26.7,22.4,8.2,9.70,0.495
2016-01-26,5.20,28.1,21.7,8.6,5.20,0.492
2016-01-27,11.30,29.5,22.8,8.0,11.30,0.489
2016-01-28,2.70,29.8,23.8,9.2,2.70,0.484
2016-01-29,0.60,30.5,21.0,7.2,0.60,0.477
2016-01-30,8.70,28.8,23.9,9.4,8.70,0.471
2016-01-31,12.10,28.3,23.0,11.1,12.10,0.472
2016-02-01,29.10,29.0,23.4,8.5,29.10,0.483
2016-02-02,12.80,28.8,23.0,11.1,12.80,0.489
2016-02-03,14.20,29.1,23.1,7.9,14.20,0.499
2016-02-04,14.40,27.8,22.7,6.3,14.40,0.504
2016-02-05,14.90,29.2,22.4,9.5,14.90,0.506
2016-02-06,11.50,29.5,22.9,8.4,11.50,0.504
2016-02-07,25.40,28.3,23.5,9.2,25.40,0.497
2016-02-08,22.70,28.7,22.4,9.7,22.70,0.496
2016-02-09,12.70,28.7,23.0,9.4,12.70,0.496
2016-02-10,46.60,27.5,22.8,10.2,46.60,0.498
2016-02-11,16.60,25.9,23.0,8.0,16.60,0.470
2016-02-12,20.60,26.9,22.5,7.6,20.60,0.476
2016-02-13,7.00,28.6,22.4,5.9,7.00,0.478
2016-02-14,16.20,30.6,22.4,7.7,16.20,0.476
2016-02-15,9.00,29.3,22.2,8.2,9.00,0.479
2016-02-16,10.90,28.7,22.5,9.6,10.90,0.478
2016-02-17,4.90,28.5,23.1,8.4,4.90,0.479
2016-02-18,20.10,28.6,22.9,9.2,20.10,0.481
2016-02-19,13.70,29.3,21.8,9.1,13.70,0.491
2016-02-20,27.30,29.8,22.4,10.9,27.30,0.499
2016-02-21,15.70,29.1,22.8,11.0,15.70,0.497
2016-02-22,8.50,29.4,23.0,8.4,8.50,0.496
2016-02-23,28.40,30.4,23.1,6.9,28.40,0.495
2016-02-24,7.60,28.3,22.9,9.5,7.60,0.497
2016-02-25,13.00,29.1,22.3,7.0,13.00,0.494
2016-02-26,7.90,28.3,22.7,11.6,7.90,0.496
2016-02-27,8.10,28.4,22.8,9.0,8.10,0.492
2016-02-28,25.20,25.7,23.4,3.8,25.20,0.505
2016-02-29,13.50,28.0,22.1,10.1,13.50,0.505
2016-03-01,15.60,26.1,22.8,12.6,15.60,0.503
2016-03-02,4.50,28.7,22.7,8.9,4.50,0.498
2016-03-03,5.10,28.4,23.4,9.5,5.10,0.492
2016-03-04,19.60,28.6,22.5,9.8,19.60,0.490
2016-03-05,18.40,28.4,22.5,9.7,18.40,0.493
2016-03-06,15.40,29.9,22.6,8.2,15.40,0.492
2016-03-07,2.20,30.0,22.7,8.3,2.20,0.487
2016-03-08,6.60,29.6,23.5,7.8,6.60,0.480
2016-03-09,25.30,28.7,22.8,8.0,25.30,0.482
