latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
-7.627416,112.88265,8.0,28800,Asia/Singapore,GMT+8

time,precipitation_sum (mm),temperature_2m_max (°C),temperature_2m_min (°C),wind_speed_10m_max (km/h),rain_sum (mm),soil_moisture_0_to_100cm_mean (m³/m³)
2016-01-01,5.10,29.8,24.1,7.0,5.10,0.319
2016-01-02,3.10,28.9,24.1,6.3,3.10,0.321
2016-01-03,6.00,28.9,23.9,6.5,6.00,0.323
2016-01-04,6.40,27.9,23.3,7.9,6.40,0.329
2016-01-05,0.00,29.5,24.0,8.6,0.00,0.330
2016-01-06,0.00,30.9,23.5,8.1,0.00,0.327
2016-01-07,0.00,31.3,24.2,7.3,0.00,0.323
2016-01-08,0.90,31.0,24.0,6.6,0.90,0.320
2016-01-09,1.20,30.5,23.9,6.2,1.20,0.317
2016-01-10,1.80,29.8,24.3,9.1,1.80,0.316
2016-01-11,0.50,29.5,24.4,7.6,0.50,0.316
2016-01-12,0.00,30.2,23.2,8.9,0.00,0.315
2016-01-13,0.40,30.9,24.1,8.9,0.40,0.312
2016-01-14,0.00,30.9,24.5,8.2,0.00,0.309
2016-01-15,0.00,32.0,23.9,8.5,0.00,0.305
2016-01-16,2.20,31.1,25.0,7.5,2.20,0.303
2016-01-17,1.30,31.3,24.0,7.9,1.30,0.302
2016-01-18,0.60,30.2,24.4,7.2,0.60,0.301
2016-01-19,3.30,30.6,24.5,8.8,3.30,0.301
2016-01-20,4.30,30.1,24.2,11.9,4.30,0.304
2016-01-21,3.90,28.3,24.2,8.9,3.90,0.311
2016-01-22,3.70,28.8,23.4,6.6,3.70,0.317
2016-01-23,7.70,28.1,23.8,5.6,7.70,0.327
2016-01-24,8.90,27.8,23.7,9.2,8.90,0.333
2016-01-25,23.20,28.5,23.1,9.0,23.20,0.343
2016-01-26,10.20,27.2,23.4,6.2,10.20,0.358
2016-01-27,16.00,26.8,23.1,6.0,16.00,0.367
2016-01-28,4.60,28.9,22.8,9.7,4.60,0.376
2016-01-29,4.80,30.6,23.7,7.6,4.80,0.378
2016-01-30,9.80,30.1,23.5,11.3,9.80,0.381
2016-01-31,7.20,28.6,24.3,11.4,7.20,0.386
2016-02-01,12.30,30.1,24.1,8.8,12.30,0.389
2016-02-02,18.90,28.5,23.5,7.6,18.90,0.396
2016-02-03,36.40,28.8,23.6,3.3,36.40,0.410
2016-02-04,15.10,28.2,23.9,7.3,15.10,0.419
2016-02-05,6.80,27.3,23.4,5.4,6.80,0.420
2016-02-06,29.70,27.4,23.2,5.9,29.70,0.423
2016-02-07,27.90,28.8,23.8,5.1,27.90,0.426
2016-02-08,36.50,28.0,23.5,4.1,36.50,0.427
2016-02-09,15.20,28.4,23.8,6.6,15.20,0.425
2016-02-10,16.70,26.2,23.8,9.1,16.70,0.427
2016-02-11,19.60,25.9,23.5,6.8,19.60,0.427
2016-02-12,20.80,27.8,23.4,7.7,20.80,0.427
2016-02-13,4.60,28.7,23.1,4.0,4.60,0.424
2016-02-14,12.90,29.8,23.5,6.4,12.90,0.420
2016-02-15,12.70,28.0,23.9,7.4,12.70,0.423
2016-02-16,3.60,27.8,23.1,8.0,3.60,0.421
2016-02-17,11.70,30.2,23.4,8.6,11.70,0.419
2016-02-18,3.60,30.2,22.6,5.9,3.60,0.418
2016-02-19,1.30,30.1,24.3,7.3,1.30,0.412
2016-02-20,5.30,29.0,23.9,6.3,5.30,0.410
2016-02-21,11.80,27.4,23.5,7.9,11.80,0.418
2016-02-22,17.90,28.7,22.4,8.2,17.90,0.424
2016-02-23,22.30,28.5,23.6,7.0,22.30,0.424
2016-02-24,12.20,29.0,23.0,8.0,12.20,0.425
2016-02-25,25.70,28.6,22.5,5.6,25.70,0.426
2016-02-26,21.00,29.2,22.7,6.0,21.00,0.426
2016-02-27,60.10,27.5,23.5,5.4,60.10,0.428
2016-02-28,24.60,28.0,23.5,7.6,24.60,0.428
2016-02-29,19.90,28.6,23.5,8.8,19.90,0.426
2016-03-01,3.80,28.4,23.5,7.1,3.80,0.424
2016-03-02,28.70,28.7,23.9,4.7,28.70,0.425
