location_id,latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
0,-1.2302285,116.85083,89.0,28800,Asia/Singapore,GMT+8
1,-0.52724075,117.1339,20.0,28800,Asia/Singapore,GMT+8

location_id,time,precipitation_sum (mm),temperature_2m_max (°C),temperature_2m_min (°C),wind_speed_10m_max (km/h),rain_sum (mm),soil_moisture_0_to_100cm_mean (m³/m³)
0,2016-01-01,2.40,29.1,24.8,11.1,2.40,0.401
0,2016-01-02,14.00,29.1,25.6,10.7,14.00,0.400
0,2016-01-03,18.50,27.7,23.9,7.6,18.50,0.408
0,2016-01-04,10.50,29.1,24.2,10.2,10.50,0.415
0,2016-01-05,1.50,28.8,25.1,11.9,1.50,0.414
0,2016-01-06,6.60,29.1,24.9,12.3,6.60,0.412
0,2016-01-07,1.40,29.0,25.0,9.0,1.40,0.408
0,2016-01-08,1.10,29.0,25.9,10.3,1.10,0.404
0,2016-01-09,1.80,28.7,25.5,10.6,1.80,0.401
0,2016-01-10,2.90,29.0,24.9,8.9,2.90,0.399
0,2016-01-11,1.00,28.1,24.5,8.5,1.00,0.397
0,2016-01-12,3.70,28.0,24.7,7.3,3.70,0.395
0,2016-01-13,1.80,28.8,25.2,8.9,1.80,0.392
0,2016-01-14,1.70,29.2,25.0,10.1,1.70,0.391
0,2016-01-15,4.90,28.9,25.4,9.9,4.90,0.392
0,2016-01-16,7.90,29.4,25.5,10.5,7.90,0.392
0,2016-01-17,8.80,28.8,24.0,7.9,8.80,0.397
0,2016-01-18,3.70,29.2,24.7,10.6,3.70,0.398
0,2016-01-19,8.80,29.3,25.0,11.5,8.80,0.399
0,2016-01-20,16.90,27.9,25.0,11.1,16.90,0.406
0,2016-01-21,16.10,28.2,23.5,12.9,16.10,0.413
0,2016-01-22,23.80,25.0,23.2,13.0,23.80,0.423
0,2016-01-23,2.60,28.7,24.3,15.8,2.60,0.423
0,2016-01-24,0.00,28.5,25.1,12.4,0.00,0.415
0,2016-01-25,14.70,28.0,24.9,12.7,14.70,0.413
0,2016-01-26,5.00,29.2,25.0,16.0,5.00,0.412
0,2016-01-27,0.00,30.2,24.3,20.7,0.00,0.407
0,2016-01-28,0.00,30.3,25.3,19.3,0.00,0.401
0,2016-01-29,0.00,29.5,25.5,15.2,0.00,0.396
0,2016-01-30,0.30,30.2,25.6,14.7,0.30,0.392
0,2016-01-31,0.00,29.8,25.5,12.4,0.00,0.388
0,2016-02-01,4.40,29.0,25.3,9.1,4.40,0.388
0,2016-02-02,5.30,29.2,23.6,8.7,5.30,0.389
0,2016-02-03,1.80,27.8,25.4,5.0,1.80,0.387
0,2016-02-04,1.50,29.5,23.6,8.7,1.50,0.388
0,2016-02-05,12.70,29.2,25.2,10.5,12.70,0.387
0,2016-02-06,6.50,28.6,24.8,7.2,6.50,0.387
0,2016-02-07,8.70,29.6,23.7,8.1,8.70,0.389
0,2016-02-08,3.00,29.3,25.2,9.7,3.00,0.388
0,2016-02-09,2.70,30.0,23.8,13.4,2.70,0.388
0,2016-02-10,2.70,29.2,25.5,14.2,2.70,0.385
0,2016-02-11,12.20,28.3,25.5,7.0,12.20,0.383
0,2016-02-12,31.70,28.1,23.8,7.6,31.70,0.398
0,2016-02-13,1.00,28.6,24.8,9.2,1.00,0.397
0,2016-02-14,1.20,29.5,24.5,10.5,1.20,0.394
0,2016-02-15,6.10,30.0,25.0,10.1,6.10,0.391
0,2016-02-16,12.60,29.1,24.4,9.4,12.60,0.391
0,2016-02-17,10.10,28.6,24.2,8.1,10.10,0.394
